sentence,annotation
"She made the innovative leap to hire a cartographer to visually represent the statistical data and as a result, her methods were adopted and many lives were saved.","<Fact_No_Appeal>She made the innovative leap to hire a cartographer to visually represent the statistical data and as a result, her methods were adopted and many lives were saved.</Fact_No_Appeal>"
"Fortunately, the President and the U.S. Senate remain on a pace to nominate and confirm a record...","<Fact_No_Appeal>Fortunately, the President and the U.S. Senate remain on a pace to nominate and confirm a record...</Fact_No_Appeal>"
The companies will comply with all state and local regulations.,<Fact_No_Appeal>The companies will comply with all state and local regulations.</Fact_No_Appeal>
"First, since the 2008 collapse of Wall Street, and despite the subsequent re-floating of the financial sector, Wall Street and the US domestic economy can no longer do what they were doing before 2008: that is, absorb the net exports of European and Asian factories through a trade surplus financed by an equivalent influx of US-bound foreign profits.","<Fact_No_Appeal>First, since the 2008 collapse of Wall Street, and despite the subsequent re-floating of the financial sector, Wall Street and the US domestic economy can no longer do what they were doing before 2008: that is, absorb the net exports of European and Asian factories through a trade surplus financed by an equivalent influx of US-bound foreign profits.</Fact_No_Appeal>"
"To protect the town's police and fire operations, Southborough's first responders are now limiting face-to-face interactions with the public.","<Fact_No_Appeal>To protect the town's police and fire operations, Southborough's first responders are now limiting face-to-face interactions with the public.</Fact_No_Appeal>"
"The video, recorded Friday, shows the man fighting the police as they lift him up and off of the bus.","<Source:Unnamed:Direct_Evidence>The video,</Source:Unnamed:Direct_Evidence> recorded <Appeal_Time>Friday,</Appeal_Time> shows <Fact_Appeal:Indirect_Quote>the man fighting the police as they lift him up and off of the bus.</Fact_Appeal:Indirect_Quote>"
"After firing FBI Director James B. Comey last spring, he has told aides at times that he would like to oust Sessions and Mueller.","<Fact_No_Appeal>After firing FBI Director James B. Comey last spring, he has told aides at times that he would like to oust Sessions and Mueller.</Fact_No_Appeal>"
Rough surf and rip currents will be possible at the coast but no major impacts are expected.,<Fact_No_Appeal>Rough surf and rip currents will be possible at the coast but no major impacts are expected.</Fact_No_Appeal>
A 20 percent chance of showers and thunderstorms after midnight.,<Fact_No_Appeal>A 20 percent chance of showers and thunderstorms after midnight.</Fact_No_Appeal>
"We did an audit of that, and we proved conclusively that they were not scanned three times.","<Fact_No_Appeal>We did an audit of that, and we proved conclusively that they were not scanned three times.</Fact_No_Appeal>"
"Lawmakers from storm-ravaged states, particularly Florida and Texas, have vowed to oppose this week's short-term government funding bill if Congress doesn't approve the aid before leaving town for Christmas.","<Fact_No_Appeal>Lawmakers from storm-ravaged states, particularly Florida and Texas, have vowed to oppose this week's short-term government funding bill if Congress doesn't approve the aid before leaving town for Christmas.</Fact_No_Appeal>"
"In rural America, the Democratic Party's brand is toxic.","<Fact_No_Appeal>In rural America, the Democratic Party's brand is toxic.</Fact_No_Appeal>"
Qyira believed the Lawan protest reflected a growing sense of disquiet among a new set of younger people who have grown frustrated with political leaders and how they have handled the Covid-19 crisis.,<Fact_No_Appeal>Qyira believed the Lawan protest reflected a growing sense of disquiet among a new set of younger people who have grown frustrated with political leaders and how they have handled the Covid-19 crisis.</Fact_No_Appeal>
"But as a man, I've got to stand for something,"" according to the newspaper.","But as a man, I've got to stand for something,"" according to the newspaper."
"This year on MLK Day, all 423 National Park Service locations will waive entrance fees in honor of the civil rights hero.","<Fact_No_Appeal>This year on MLK Day, all 423 National Park Service locations will waive entrance fees in honor of the civil rights hero.</Fact_No_Appeal>"
"The release also criticized the university for allowing some local donors to outclass ""the cultural acceptance and personal experience of marginalized students.""","<Fact_No_Appeal>The release also criticized the university for allowing some local donors to outclass ""the cultural acceptance and personal experience of marginalized students.""</Fact_No_Appeal>"
"Gainers Arena Pharmaceuticals, Inc. (NASDAQ: ARNA ) shares jumped 80.4% to close at $90.08 on Monday.","<Fact_No_Appeal>Gainers Arena Pharmaceuticals, Inc. (NASDAQ: ARNA ) shares jumped 80.4% to close at $90.08 on Monday.</Fact_No_Appeal>"
"Giuliani said he expects to make a decision by July 4 as to whether Mr. Trump's personal legal team will cooperate and do an interview, or whether they will fight that request.","<Source:Named:Active_Participant>Giuliani</Source:Named:Active_Participant> said <Fact_Appeal:Indirect_Quote>he expects to make a decision by July 4 as to whether Mr. Trump's personal legal team will cooperate and do an interview, or whether they will fight that request.</Fact_Appeal:Indirect_Quote>"
"As historian Adam Hochschild notes in Spain Is in Our Hearts, his account of the Americans who fought in the Spanish Civil War, the German and Italian contributions to Franco were immense and gave both nations a chance to test out weapons they would use in World War II.","As <Source_Attribute>historian</Source_Attribute> <Source:Named:Expert>Adam Hochschild</Source:Named:Expert> notes in <Source:Named:Expert_Document>Spain Is in Our Hearts</Source:Named:Expert_Document>, his account of the Americans who fought in the Spanish Civil War, <Fact_Appeal:Indirect_Quote>the German and Italian contributions to Franco were immense and gave both nations a chance to test out weapons they would use in World War II.</Fact_Appeal:Indirect_Quote>"
"In his most recent book, The Restless Wave, written in collaboration with Mark Salter, McCain wrote about his impending death by observing, ""'The world is a fine place and worth the fighting for and I hate very much to leave it,' spoke my hero, Robert Jordan, in For Whom the Bell Tolls.","<Fact_No_Appeal>In his most recent book, The Restless Wave, written in collaboration with Mark Salter, McCain wrote about his impending death by observing, ""'The world is a fine place and worth the fighting for and I hate very much to leave it,' spoke my hero, Robert Jordan, in For Whom the Bell Tolls.</Fact_No_Appeal>"
"There's no denying it, Jackson's performance at the 2001 CMA Awards is one we won't be forgetting any time soon.","<Fact_No_Appeal>There's no denying it, Jackson's performance at the 2001 CMA Awards is one we won't be forgetting any time soon.</Fact_No_Appeal>"
"The projected rise in inflation due to the tax cuts may hamper the Fed's ability to offset the downturn, so it might be a bit worse than the CBO expect.","<Fact_No_Appeal>The projected rise in inflation due to the tax cuts may hamper the Fed's ability to offset the downturn, so it might be a bit worse than the CBO expect.</Fact_No_Appeal>"
"Finland, which is not a NATO member but has a long, bloody history with its Russian neighbor, is beefing up its military force as well.","<Fact_No_Appeal>Finland, which is not a NATO member but has a long, bloody history with its Russian neighbor, is beefing up its military force as well.</Fact_No_Appeal>"
"""I was wondering why you did not speak about why you were incarcerated.","""I was wondering why you did not speak about why you were incarcerated."
The Portland Police Bureau used tear gas on multiple occasions until a federal court order banned its officers from doing so without declaring a riot.,<Fact_No_Appeal>The Portland Police Bureau used tear gas on multiple occasions until a federal court order banned its officers from doing so without declaring a riot.</Fact_No_Appeal>
So all he needs to do is shriek at me down the phone and I'll love it.,So all he needs to do is shriek at me down the phone and I'll love it.
"According to the Washington Post, Bleuel had two other semicolon tattoos: one for herself on her left arm and one on the back of her right leg for a friend.","According to <Source:Named:News_Report>the Washington Post</Source:Named:News_Report>, <Fact_Appeal:Indirect_Quote>Bleuel had two other semicolon tattoos: one for herself on her left arm and one on the back of her right leg for a friend.</Fact_Appeal:Indirect_Quote>"
"On a seemingly normal day in 1972, Jeanne Manford and her son Morty walked together in what would eventually be known as the Christopher Street Liberation Day March in New York City.","<Fact_No_Appeal>On a seemingly normal day in 1972, Jeanne Manford and her son Morty walked together in what would eventually be known as the Christopher Street Liberation Day March in New York City.</Fact_No_Appeal>"
His Muslim ban isn't the betrayal of his campaign's promise.,<Fact_No_Appeal>His Muslim ban isn't the betrayal of his campaign's promise.</Fact_No_Appeal>
"This year, four KCPD officers have been indicted for misconduct in charges ranging from assault to manslaughter.","<Fact_No_Appeal>This year, four KCPD officers have been indicted for misconduct in charges ranging from assault to manslaughter.</Fact_No_Appeal>"
"""Whether you ride a road or mountain bike, take your cruiser to the office, or put the pedal to the metal in the gym, our cycling gloves offer an unmatched secure grip that's solid enough to put you in full control, yet light enough to stay comfortable.""","<Fact_No_Appeal>""Whether you ride a road or mountain bike, take your cruiser to the office, or put the pedal to the metal in the gym, our cycling gloves offer an unmatched secure grip that's solid enough to put you in full control, yet light enough to stay comfortable.""</Fact_No_Appeal>"
"Christine and Lilly formed a beautiful bond over the years, and in 2012, the pit bull showed her true colors while out for a walk with her owner.","<Fact_No_Appeal>Christine and Lilly formed a beautiful bond over the years, and in 2012, the pit bull showed her true colors while out for a walk with her owner.</Fact_No_Appeal>"
"Remove the metal detectors and surveillance cameras, re-assign the cops elsewhere, and start treating our nation's young people like citizens of a republic and not inmates in a police state.","Remove the metal detectors and surveillance cameras, re-assign the cops elsewhere, and start treating our nation's young people like citizens of a republic and not inmates in a police state."
"Florida immediately passed its first gun-control legislation in 20 years, but the President backed off his earlier support to raise the federal gun purchase age limit.","<Fact_No_Appeal>Florida immediately passed its first gun-control legislation in 20 years, but the President backed off his earlier support to raise the federal gun purchase age limit.</Fact_No_Appeal>"
"The world's heaviest soaring bird flaps its wings for only 1% of the time during flight, according to new research.","<Fact_Appeal:Indirect_Quote>The world's heaviest soaring bird flaps its wings for only 1% of the time during flight</Fact_Appeal:Indirect_Quote>, according to <Source:Unnamed:Expert_Document>new research</Source:Unnamed:Expert_Document>."
Surely now is the time to co-operate and say something once and for all?,Surely now is the time to co-operate and say something once and for all?
"That means the market remains in ""bear"" territory, or when stocks lose at least 20% of their value from their most recent high.","<Fact_No_Appeal>That means the market remains in ""bear"" territory, or when stocks lose at least 20% of their value from their most recent high.</Fact_No_Appeal>"
"And so, in an act of defensiveness, the university dismissed the students' clarity and courage in confronting white nationalists, and instead transformed the students into part of the problem.","<Fact_No_Appeal>And so, in an act of defensiveness, the university dismissed the students' clarity and courage in confronting white nationalists, and instead transformed the students into part of the problem.</Fact_No_Appeal>"
"""I honestly think that this will be it this year if I don't get some good status for next year where I feel I can actually make some real money,"" he said.","""I honestly think that this will be it this year if I don't get some good status for next year where I feel I can actually make some real money,"" he said."
"But I still get along with them great, and they will pay up.","<Fact_No_Appeal>But I still get along with them great, and they will pay up.</Fact_No_Appeal>"
A supermoon is visible in our skies tonight - and it's your last chance to see one for almost a year!,<Fact_No_Appeal>A supermoon is visible in our skies tonight - and it's your last chance to see one for almost a year!</Fact_No_Appeal>
"Mr. Houlton also said new fence construction in Calexico, California, is proceeding.","<Source:Named:null>Mr. Houlton</Source:Named:null> also said <Fact_Appeal:Indirect_Quote>new fence construction in Calexico, California, is proceeding.</Fact_Appeal:Indirect_Quote>"
"College Democrats at Dartmouth University are hosting a ""Quiet Space for the Inauguration"" Friday.","<Fact_No_Appeal>College Democrats at Dartmouth University are hosting a ""Quiet Space for the Inauguration"" Friday.</Fact_No_Appeal>"
"The president's attorney, Rudy Giuliani, was asked by Reid whether he had been told by Manafort's attorneys that the cooperation deal will not require him to share anything related to the president.","<Fact_No_Appeal>The president's attorney, Rudy Giuliani, was asked by Reid whether he had been told by Manafort's attorneys that the cooperation deal will not require him to share anything related to the president.</Fact_No_Appeal>"
"Pereyo said he had been at the nearby park watching drummers and fireworks being shot, when his face and eyes began to burn.","<Source:Named:Active_Participant>Pereyo</Source:Named:Active_Participant> said <Fact_Appeal:Indirect_Quote>he had been at the nearby park watching drummers and fireworks being shot, when his face and eyes began to burn.</Fact_Appeal:Indirect_Quote>"
The midterm elections John Sides: A central dimension of conflict in the 2016 election was about issues that had to do with immigration with Islam and with race.,<Fact_No_Appeal>The midterm elections John Sides: A central dimension of conflict in the 2016 election was about issues that had to do with immigration with Islam and with race.</Fact_No_Appeal>
"In addition to acting as a handy guide to the nation's herbs, the Medicinal Plant Map was also created in order to emphasize the expertise of pharmacists.","<Fact_No_Appeal>In addition to acting as a handy guide to the nation's herbs, the Medicinal Plant Map was also created in order to emphasize the expertise of pharmacists.</Fact_No_Appeal>"
"The Queen, 95, addressed a warm letter of congratulations to Emma while the Duke and Duchess of Cambridge praised the 18-year-old qualifier from Bromley for her performance and her historic victory.","<Fact_No_Appeal>The Queen, 95, addressed a warm letter of congratulations to Emma while the Duke and Duchess of Cambridge praised the 18-year-old qualifier from Bromley for her performance and her historic victory.</Fact_No_Appeal>"
"""The concern was that they were violating the platform's terms of service, which didn't allow you to raise money to buy weaponry.""","<Fact_No_Appeal>""The concern was that they were violating the platform's terms of service, which didn't allow you to raise money to buy weaponry.""</Fact_No_Appeal>"
"""If we are going to impose tariffs on Chinese goods, we should impose them on items that hurt the Chinese, not us.""","""If we are going to impose tariffs on Chinese goods, we should impose them on items that hurt the Chinese, not us."""
"Furthermore, the 1980s witnessed intense competition between farmers and lions, resulting in a near total collapse of the desert lion population in the Skeleton Coast for over a decade.","<Fact_No_Appeal>Furthermore, the 1980s witnessed intense competition between farmers and lions, resulting in a near total collapse of the desert lion population in the Skeleton Coast for over a decade.</Fact_No_Appeal>"
But it's the Ukrainian conspirator Andriy Artemenko who is now facing treason charges over it.,<Fact_No_Appeal>But it's the Ukrainian conspirator Andriy Artemenko who is now facing treason charges over it.</Fact_No_Appeal>
"""Pan y Circo"" (Bread and Circus), a new Amazon Prime Video series, brings together notable guests for dinners to discuss important issues ranging from the climate crisis to immigration, racism and COVID-19.","<Fact_No_Appeal>""Pan y Circo"" (Bread and Circus), a new Amazon Prime Video series, brings together notable guests for dinners to discuss important issues ranging from the climate crisis to immigration, racism and COVID-19.</Fact_No_Appeal>"
"""This has been a profound insult,"" Washington Gov. and Democratic Governors' Association chair Jay Inslee told The Daily Beast in an interview this week.","<Fact_No_Appeal>""This has been a profound insult,"" Washington Gov. and Democratic Governors' Association chair Jay Inslee told The Daily Beast in an interview this week.</Fact_No_Appeal>"
"Rochelle and Marvin revealed in March 2020 that they were expecting another baby, telling followers: ""There's a baby bunny in my oven.""","<Source:Named:Active_Participant>Rochelle and Marvin</Source:Named:Active_Participant> revealed <Appeal_Time>in March 2020</Appeal_Time> that they were expecting another baby, telling <Recipient>followers</Recipient>: <Fact_Appeal:Direct_Quote>""There's a baby bunny in my oven.""</Fact_Appeal:Direct_Quote>"
"When we come back, we'll be joined by a professor, Ransby, professor Barbara Ransby, who will talk about her role in gaining support, particularly of African-American women, for Anita Hill, back during the Anita Hill-Clarence Thomas hearings.","<Fact_No_Appeal>When we come back, we'll be joined by a professor, Ransby, professor Barbara Ransby, who will talk about her role in gaining support, particularly of African-American women, for Anita Hill, back during the Anita Hill-Clarence Thomas hearings.</Fact_No_Appeal>"
"Tuesday's ""Leadership Matters"" theme will feature small business owners, front-line health care workers, racial justice leaders, veterans, activists and others who Biden campaign says are ""looking for leadership"" out of the White House.","<Fact_No_Appeal>Tuesday's ""Leadership Matters"" theme will feature small business owners, front-line health care workers, racial justice leaders, veterans, activists and others who </Fact_No_Appeal><Source:Named:Active_Participant>Biden campaign</Source:Named:Active_Participant> says <Fact_Appeal:Indirect_Quote>are ""looking for leadership"" out of the White House.</Fact_Appeal:Indirect_Quote>"
Relations have been tense between Ankara and Washington over issues from policy toward Syria to the U.S. refusal to extradite a cleric Turkey blames for a 2016 coup attempt.,<Fact_No_Appeal>Relations have been tense between Ankara and Washington over issues from policy toward Syria to the U.S. refusal to extradite a cleric Turkey blames for a 2016 coup attempt.</Fact_No_Appeal>
"In 1982, the Republican National Committee was forced to enter a consent decree promising to end these activities and submit their ""ballot security"" efforts to scrutiny by the courts.","<Fact_No_Appeal>In 1982, the Republican National Committee was forced to enter a consent decree promising to end these activities and submit their ""ballot security"" efforts to scrutiny by the courts.</Fact_No_Appeal>"
"Referring to the action plan, Orban said ""this is Hungary's answer (to challenges) rather than immigration,"" he said, according to English‐speaking news service Daily News Hungary","Referring to the action plan, <Source:Named:Official>Orban</Source:Named:Official> said <Fact_Appeal:Direct_Quote>""this is Hungary's answer (to challenges) rather than immigration,""</Fact_Appeal:Direct_Quote> he said, according to <Recipient>English‐speaking news service Daily News Hungary</Recipient>"
"""In 2004 (the most recent year of data available), among state prison inmates who possessed a gun at the time of the offense, fewer than two percent bought their firearm at a flea market or gun show,"" according to the Bureau of Justice Statistics","<Fact_Appeal:Direct_Quote>""In 2004 (the most recent year of data available), among state prison inmates who possessed a gun at the time of the offense, fewer than two percent bought their firearm at a flea market or gun show,""</Fact_Appeal:Direct_Quote> according to the <Source:Named:Official>Bureau of Justice Statistics</Source:Named:Official>"
Colleges of Distinction: The University of Redlands has earned national recognition by Colleges of Distinction .,<Fact_No_Appeal>Colleges of Distinction: The University of Redlands has earned national recognition by Colleges of Distinction .</Fact_No_Appeal>
"On June 4, 1985, the Post-Dispatch reported that St. Louis' circuit attorney charged Busch with three counts of third-degree assault, a misdemeanor.","<Appeal_Time>On June 4, 1985,</Appeal_Time> the <Source:Named:News_Report>Post-Dispatch</Source:Named:News_Report> reported that <Fact_Appeal:Indirect_Quote>St. Louis' circuit attorney charged Busch with three counts of third-degree assault, a misdemeanor.</Fact_Appeal:Indirect_Quote>"
"'It's absolutely heartbreaking, these acts are senseless and these people will be brought to justice,' Serna said.","'It's absolutely heartbreaking, these acts are senseless and these people will be brought to justice,' Serna said."
The incident began as a report of a drunken driver in the area of Israel Road and Tyee Drive near the Toyota dealership.,<Fact_No_Appeal>The incident began as a report of a drunken driver in the area of Israel Road and Tyee Drive near the Toyota dealership.</Fact_No_Appeal>
"The U.S. president's approval rating has also taken a plunge in Russia, with just 13 percent of Russians reporting positive opinions of Trump, according to an April survey in the region.","<Fact_Appeal:Indirect_Quote>The U.S. president's approval rating has also taken a plunge in Russia, with just 13 percent of Russians reporting positive opinions of Trump,</Fact_Appeal:Indirect_Quote> according to <Source:Unnamed:Expert_Document>an April survey in the region.</Source:Unnamed:Expert_Document>"
"""The maintenance man came running to one of our vehicles which was nearby dealing with electrical lines down,"" said Fire Chief Michael Eheman","<Fact_Appeal:Direct_Quote>""The maintenance man came running to one of our vehicles which was nearby dealing with electrical lines down,""</Fact_Appeal:Direct_Quote> said <Source:Named:Official>Fire Chief Michael Eheman</Source:Named:Official>"
"Diversified means your money will be spread out across things like government bonds and cash, which are considered low risk, and higher risk investments.","<Fact_No_Appeal>Diversified means your money will be spread out across things like government bonds and cash, which are considered low risk, and higher risk investments.</Fact_No_Appeal>"
Trump's actions are inhumane and cowardly.,Trump's actions are inhumane and cowardly.
"""Now, we're flippin' our name to IHOb.","""Now, we're flippin' our name to IHOb."
The university will also rename the newly launched Center for Violence Prevention as the McCluskey Center for Violence Prevention.,<Fact_No_Appeal>The university will also rename the newly launched Center for Violence Prevention as the McCluskey Center for Violence Prevention.</Fact_No_Appeal>
"Cutshaw has been fired from her job at Engels & Volker, according to ABC22.","<Fact_Appeal:Indirect_Quote>Cutshaw has been fired from her job at Engels & Volker,</Fact_Appeal:Indirect_Quote> according to <Source:Named:null>ABC22.</Source:Named:null>"
"""We have immense difficulty convincing young women that when a man rubs his genitals against a woman in the metro without her consent, it is an act of sexual assault that can lead to three years in prison and a 75,000 euro fine,"" France's junior minister for gender equality, Marlene Schiappa, told France Culture radio at the time the letter came out.","""We have immense difficulty convincing young women that when a man rubs his genitals against a woman in the metro without her consent, it is an act of sexual assault that can lead to three years in prison and a 75,000 euro fine,"" France's junior minister for gender equality, Marlene Schiappa, told France Culture radio at the time the letter came out."
"And if growth is hindered, that means job creation is hindered.","<Fact_No_Appeal>And if growth is hindered, that means job creation is hindered.</Fact_No_Appeal>"
"It's one of the proudest moments of my life,"" Day says.","It's one of the proudest moments of my life,"" Day says."
"Her last known address was in the 700 block of Orlando Avenue, Normal.","<Fact_No_Appeal>Her last known address was in the 700 block of Orlando Avenue, Normal.</Fact_No_Appeal>"
The hackers had sent the New York Fed fake payment orders requesting nearly $1 billion.,<Fact_No_Appeal>The hackers had sent the New York Fed fake payment orders requesting nearly $1 billion.</Fact_No_Appeal>
I'm jealous that I never had one of these in mine.,I'm jealous that I never had one of these in mine.
"Much to the delight of Cartwright's colleagues, from Buckfastleigh Fire Station in Devon, England, the 31-year-old turned up with a stripe of hair shaved off around the sides.","<Fact_No_Appeal>Much to the delight of Cartwright's colleagues, from Buckfastleigh Fire Station in Devon, England, the 31-year-old turned up with a stripe of hair shaved off around the sides.</Fact_No_Appeal>"
"In 2012, the Supreme Court determined in a 5-4 decision that the individual mandate was a legitimate ""tax"" authorized by the Constitution.","<Appeal_Time>In 2012,</Appeal_Time> <Source:Named:Official>the Supreme Court</Source:Named:Official> determined <Fact_Appeal:Indirect_Quote>in a 5-4 decision that the individual mandate was a legitimate ""tax"" authorized by the Constitution.</Fact_Appeal:Indirect_Quote>"
"Plus, Joanna Stern from the Wall Street Journal explains the significance of Trump's suspension from Facebook and Twitter.","Plus, <Source:Named:Expert>Joanna Stern</Source:Named:Expert> from <Source_Attribute>the Wall Street Journal</Source_Attribute> explains <Fact_Appeal:Indirect_Quote>the significance of Trump's suspension from Facebook and Twitter.</Fact_Appeal:Indirect_Quote>"
"After obtaining everyone's approval, an appropriate decision will be taken, said Karnataka chief minister Bommai","<Fact_Appeal:Indirect_Quote>After obtaining everyone's approval, an appropriate decision will be taken,</Fact_Appeal:Indirect_Quote> said <Source_Attribute>Karnataka chief minister</Source_Attribute> <Source:Named:Official>Bommai</Source:Named:Official>"
Graham Potter says Brighton must gamble on unproven youngsters in order to protect the club's long-term Premier League future after snapping up Ecuadorian teenager Moises Caicedo.,Graham Potter says Brighton must gamble on unproven youngsters in order to protect the club's long-term Premier League future after snapping up Ecuadorian teenager Moises Caicedo.
"""He drafts a tweet saying 'We are going to pull our dependents from South Korea - family members of the 28,000 people there,'"" said Woodward, referring to families of US troops stationed on the Korean peninsula.","<Fact_Appeal:Direct_Quote>""He drafts a tweet saying 'We are going to pull our dependents from South Korea - family members of the 28,000 people there,'""</Fact_Appeal:Direct_Quote> said <Source:Named:null>Woodward</Source:Named:null>, referring to families of US troops stationed on the Korean peninsula."
"""But if it's dry, we are under extreme risk.""
HOW DO RECENT WILDFIRES FIGURE INTO THIS?","""But if it's dry, we are under extreme risk.""
HOW DO RECENT WILDFIRES FIGURE INTO THIS?"
The continents were joined together in a single enormous landmass called Pangea.,<Fact_No_Appeal>The continents were joined together in a single enormous landmass called Pangea.</Fact_No_Appeal>
"Persistent weakness in the economy will leave government borrowing at £158bn next year, and about £130bn until as late as 2024-25, according to the influential research group","<Fact_Appeal:Indirect_Quote>Persistent weakness in the economy will leave government borrowing at £158bn next year, and about £130bn until as late as 2024-25,</Fact_Appeal:Indirect_Quote> according to the <Source:Unnamed:Expert>influential research group</Source:Unnamed:Expert>"
"In the film, Bergman plays Alicia Huberman, a German woman who's sent undercover to spy on the Nazis.","<Fact_No_Appeal>In the film, Bergman plays Alicia Huberman, a German woman who's sent undercover to spy on the Nazis.</Fact_No_Appeal>"
"The Federalist, a wholly independent division of FDRLST Media, All Rights Reserved.","<Fact_No_Appeal>The Federalist, a wholly independent division of FDRLST Media, All Rights Reserved.</Fact_No_Appeal>"
We must defend America and protect Christians from genocidal jihadists.,We must defend America and protect Christians from genocidal jihadists.
"After the successful test hop, Mr Musk said: ""One day Starship will land on the rusty sands of Mars.""","<Fact_No_Appeal>After the successful test hop, Mr Musk said: ""One day Starship will land on the rusty sands of Mars.""</Fact_No_Appeal>"
"Indeed, this case already is the extreme hypothetical: a state could deny playground safety resurfacing grants to otherwise qualified recipients, at the expense of the children using those playgrounds, solely because of their religious identity.","<Fact_No_Appeal>Indeed, this case already is the extreme hypothetical: a state could deny playground safety resurfacing grants to otherwise qualified recipients, at the expense of the children using those playgrounds, solely because of their religious identity.</Fact_No_Appeal>"
"Many cite the risk of getting sick as a reason to not get a flu shot, but the truth is that there's no live flu virus in the shot, so it cannot make you sick.","Many cite the risk of getting sick as a reason to not get a flu shot, but the truth is that there's no live flu virus in the shot, so it cannot make you sick."
"As the system moves out Saturday into Sunday, extreme winter temperatures will grip the eastern US.","<Fact_No_Appeal>As the system moves out Saturday into Sunday, extreme winter temperatures will grip the eastern US.</Fact_No_Appeal>"
"Total responses - 97
___
What effect would requiring schools to offer compensation to athletes based on a share of university sports-generated revenue have on the competitive balance of Division I sports:
Many more schools will be competitive - 3.06%
Somewhat more schools will be competitive - 3.06%
No impact - 4.08%
Somewhat fewer schools will be competitive - 13.27%
Many fewer schools will be competitive - 76.53%
Total responses - 98
___
If your school were to offer compensation beyond scholarships to students, are there any sports that would lose funding or be cut by your school?","Total responses - 97
___
What effect would requiring schools to offer compensation to athletes based on a share of university sports-generated revenue have on the competitive balance of Division I sports:
Many more schools will be competitive - 3.06%
Somewhat more schools will be competitive - 3.06%
No impact - 4.08%
Somewhat fewer schools will be competitive - 13.27%
Many fewer schools will be competitive - 76.53%
Total responses - 98
___
If your school were to offer compensation beyond scholarships to students, are there any sports that would lose funding or be cut by your school?"
Fresh fears have been raised that a huge earthquake is about to hit California after a swarm of recent tremors.,<Fact_No_Appeal>Fresh fears have been raised that a huge earthquake is about to hit California after a swarm of recent tremors.</Fact_No_Appeal>
"""There are tools that may result in the reduction of production from Texas' thriving oil and gas industry,"" said Chuck DeVore, vice president of national initiatives for the conservative Texas Public Policy Foundation.","<Fact_Appeal:Direct_Quote>""There are tools that may result in the reduction of production from Texas' thriving oil and gas industry,""</Fact_Appeal:Direct_Quote> said <Source:Named:Expert>Chuck DeVore,</Source:Named:Expert> <Source_Attribute>vice president of national initiatives for the conservative Texas Public Policy Foundation.</Source_Attribute>"
"With so many literary heroes to pick from, McCain's choice of Robert Jordan is revealing.","<Fact_No_Appeal>With so many literary heroes to pick from, McCain's choice of Robert Jordan is revealing.</Fact_No_Appeal>"
"Whether you're looking for a gift idea for a man or woman who claims to have everything or a kid looking for the best new toy, the gifts listed below are bound to help you out.","<Fact_No_Appeal>Whether you're looking for a gift idea for a man or woman who claims to have everything or a kid looking for the best new toy, the gifts listed below are bound to help you out.</Fact_No_Appeal>"
"The 10-person commission is comprised of ""academics, historians and community leaders,"" according to the Times-Dispatch","<Fact_Appeal:Indirect_Quote>The 10-person commission is comprised of ""academics, historians and community leaders,""</Fact_Appeal:Indirect_Quote> according to <Source:Named:News_Report>the Times-Dispatch</Source:Named:News_Report>"
"She said a police officer informed her that the 36-year-old Hua had been arrested for ""illegal surveillance.""","<Source:Unnamed:Witness>She</Source:Unnamed:Witness> said <Source:Unnamed:Active_Participant>a police officer</Source:Unnamed:Active_Participant> informed her that <Fact_Appeal:Indirect_Quote>the 36-year-old Hua had been arrested for ""illegal surveillance.""</Fact_Appeal:Indirect_Quote>"
But Groenewald appears to have stalled the Americans‚ case against him too.,<Fact_No_Appeal>But Groenewald appears to have stalled the Americans‚ case against him too.</Fact_No_Appeal>
"Mothman's origins have been claimed as supernatural, alien, or government experiment gone wrong.","<Fact_No_Appeal>Mothman's origins have been claimed as supernatural, alien, or government experiment gone wrong.</Fact_No_Appeal>"
"""I'm just going to be so glad when I get to hug her again,"" Christine said.","""I'm just going to be so glad when I get to hug her again,"" Christine said."
Call the companies that make or service your burglar and fire alarms and personal medical alert systems to see if any need an update.,Call the companies that make or service your burglar and fire alarms and personal medical alert systems to see if any need an update.
"And there is growing concern that Sinclair will use the new stations to expand its practice of injecting conservative, pro-Trump commentary into the local news that tens of millions of people rely on and trust.","<Fact_No_Appeal>And there is growing concern that Sinclair will use the new stations to expand its practice of injecting conservative, pro-Trump commentary into the local news that tens of millions of people rely on and trust.</Fact_No_Appeal>"
"It was on such occasions that he regularly did make news--by sharing with the audience, as he did with Melvin, what he really thought.","<Fact_No_Appeal>It was on such occasions that he regularly did make news--by sharing with the audience, as he did with Melvin, what he really thought.</Fact_No_Appeal>"
"Days before the election, Kemp launched an investigation into allegations of ""potential cyber crimes"" perpetrated by Georgia Democrats, who, according to Kemp's office, orchestrated ""a failed attempt to hack the state's voter registration system.""","<Fact_No_Appeal>Days before the election, Kemp launched an investigation into allegations of ""potential cyber crimes"" perpetrated by Georgia Democrats, who, according to Kemp's office, orchestrated ""a failed attempt to hack the state's voter registration system.""</Fact_No_Appeal>"
"""You can't put a new roof on and expect the foundation to be straight again.""
Scott asked Vilsack on Thursday how much of his time will be devoted to getting the $5bn in stimulus funds in the hands of Black farmers.","""You can't put a new roof on and expect the foundation to be straight again.""
Scott asked Vilsack on Thursday how much of his time will be devoted to getting the $5bn in stimulus funds in the hands of Black farmers."
